Check failed for (fp128): x = -3.939557187601600721032154802632496298e+00; diff = 1.925929944387235853055977942584927319e-34; -627/1000
Check failed for (fp128): x = -3.933274002294421134555229515865937398e+00; diff = 3.851859888774471706111955885169854637e-34; -626/1000
Check failed for (fp128): x = -3.914424446372882375124453655566260695e+00; diff = 3.851859888774471706111955885169854637e-34; -623/1000
Check failed for (fp128): x = -3.889291705144164029216752508500024707e+00; diff = 3.851859888774471706111955885169854637e-34; -619/1000
Check failed for (fp128): x = -3.883008519836984442739827221733465806e+00; diff = 3.851859888774471706111955885169854637e-34; -618/1000
Check failed for (fp128): x = -3.876725334529804856262901934966906135e+00; diff = 3.851859888774471706111955885169854637e-34; -617/1000
Check failed for (fp128): x = -3.870442149222625269785976648200347234e+00; diff = 3.851859888774471706111955885169854637e-34; -616/1000
Check failed for (fp128): x = -3.857875778608266096832126074667229432e+00; diff = 3.851859888774471706111955885169854637e-34; -614/1000
Check failed for (fp128): x = -3.851592593301086510355200787900670531e+00; diff = 3.851859888774471706111955885169854637e-34; -613/1000
Check failed for (fp128): x = -3.845309407993906923878275501134111631e+00; diff = 3.851859888774471706111955885169854637e-34; -612/1000
Check failed for (fp128): x = -3.839026222686727337401350214367552345e+00; diff = 3.851859888774471706111955885169854637e-34; -611/1000
Check failed for (fp128): x = -3.826459852072368164447499640834434543e+00; diff = 3.851859888774471706111955885169854637e-34; -609/1000
Check failed for (fp128): x = -3.807610296150829405016723780534757070e+00; diff = 3.851859888774471706111955885169854637e-34; -606/1000
Check failed for (fp128): x = -3.801327110843649818539798493768198169e+00; diff = 3.851859888774471706111955885169854637e-34; -605/1000
Check failed for (fp128): x = -3.782477554922111059109022633468521467e+00; diff = 3.851859888774471706111955885169854637e-34; -602/1000
Check failed for (fp128): x = -3.776194369614931472632097346701962181e+00; diff = 7.703719777548943412223911770339709274e-34; -601/1000
Check failed for (fp128): x = -3.769911184307751886155172059935403280e+00; diff = 3.851859888774471706111955885169854637e-34; -600/1000
Check failed for (fp128): x = -3.744778443079033540247470912869166906e+00; diff = 3.851859888774471706111955885169854637e-34; -596/1000
Check failed for (fp128): x = -3.738495257771853953770545626102608005e+00; diff = 7.703719777548943412223911770339709274e-34; -595/1000
Check failed for (fp128): x = -3.732212072464674367293620339336049105e+00; diff = 7.703719777548943412223911770339709274e-34; -594/1000
Check failed for (fp128): x = -3.725928887157494780816695052569490589e+00; diff = 3.851859888774471706111955885169854637e-34; -593/1000
Check failed for (fp128): x = -3.713362516543135607862844479036372017e+00; diff = 7.703719777548943412223911770339709274e-34; -591/1000
Check failed for (fp128): x = -3.707079331235956021385919192269813116e+00; diff = 3.851859888774471706111955885169854637e-34; -590/1000
Check failed for (fp128): x = -3.700796145928776434908993905503254215e+00; diff = 3.851859888774471706111955885169854637e-34; -589/1000
Check failed for (fp128): x = -3.694512960621596848432068618736695314e+00; diff = 7.703719777548943412223911770339709274e-34; -588/1000
Check failed for (fp128): x = -3.681946590007237675478218045203577513e+00; diff = 3.851859888774471706111955885169854637e-34; -586/1000
Check failed for (fp128): x = -3.663097034085698916047442184903900425e+00; diff = 7.703719777548943412223911770339709274e-34; -583/1000
Check failed for (fp128): x = -3.656813848778519329570516898137341524e+00; diff = 7.703719777548943412223911770339709274e-34; -582/1000
Check failed for (fp128): x = -3.644247478164160156616666324604222952e+00; diff = 7.703719777548943412223911770339709274e-34; -580/1000
Check failed for (fp128): x = -3.631681107549800983662815751071105151e+00; diff = 7.703719777548943412223911770339709274e-34; -578/1000
Check failed for (fp128): x = -3.625397922242621397185890464304546250e+00; diff = 7.703719777548943412223911770339709274e-34; -577/1000
Check failed for (fp128): x = -3.619114736935441810708965177537987349e+00; diff = 7.703719777548943412223911770339709274e-34; -576/1000
Check failed for (fp128): x = -3.612831551628262224232039890771428063e+00; diff = 1.540743955509788682444782354067941855e-33; -575/1000
Check failed for (fp128): x = -3.593981995706723464801264030471751361e+00; diff = 7.703719777548943412223911770339709274e-34; -572/1000
Check failed for (fp128): x = -3.587698810399543878324338743705192460e+00; diff = 7.703719777548943412223911770339709274e-34; -571/1000
Check failed for (fp128): x = -3.581415625092364291847413456938632789e+00; diff = 1.540743955509788682444782354067941855e-33; -570/1000
Check failed for (fp128): x = -3.568849254478005118893562883405514987e+00; diff = 7.703719777548943412223911770339709274e-34; -568/1000
Check failed for (fp128): x = -3.549999698556466359462787023105837899e+00; diff = 7.703719777548943412223911770339709274e-34; -565/1000
Check failed for (fp128): x = -3.531150142634927600032011162806161197e+00; diff = 7.703719777548943412223911770339709274e-34; -562/1000
Check failed for (fp128): x = -3.524866957327748013555085876039602296e+00; diff = 7.703719777548943412223911770339709274e-34; -561/1000
Check failed for (fp128): x = -3.512300586713388840601235302506484109e+00; diff = 1.540743955509788682444782354067941855e-33; -559/1000
Check failed for (fp128): x = -3.499734216099029667647384728973366307e+00; diff = 1.540743955509788682444782354067941855e-33; -557/1000
Check failed for (fp128): x = -3.493451030791850081170459442206807407e+00; diff = 1.540743955509788682444782354067941855e-33; -556/1000
Check failed for (fp128): x = -3.468318289563131735262758295140571033e+00; diff = 1.540743955509788682444782354067941855e-33; -552/1000
Check failed for (fp128): x = -3.455751918948772562308907721607453231e+00; diff = 3.081487911019577364889564708135883710e-33; -550/1000
Check failed for (fp128): x = -3.449468733641592975831982434840893945e+00; diff = 1.540743955509788682444782354067941855e-33; -549/1000
Check failed for (fp128): x = -3.443185548334413389355057148074335044e+00; diff = 1.540743955509788682444782354067941855e-33; -548/1000
Check failed for (fp128): x = -3.436902363027233802878131861307776144e+00; diff = 3.081487911019577364889564708135883710e-33; -547/1000
Check failed for (fp128): x = -3.430619177720054216401206574541217243e+00; diff = 3.081487911019577364889564708135883710e-33; -546/1000
Check failed for (fp128): x = -3.424335992412874629924281287774658342e+00; diff = 1.540743955509788682444782354067941855e-33; -545/1000
Check failed for (fp128): x = -3.418052807105695043447356001008098671e+00; diff = 1.540743955509788682444782354067941855e-33; -544/1000
Check failed for (fp128): x = -3.411769621798515456970430714241539770e+00; diff = 1.540743955509788682444782354067941855e-33; -543/1000
Check failed for (fp128): x = -3.405486436491335870493505427474980869e+00; diff = 1.540743955509788682444782354067941855e-33; -542/1000
Check failed for (fp128): x = -3.399203251184156284016580140708421968e+00; diff = 1.540743955509788682444782354067941855e-33; -541/1000
Check failed for (fp128): x = -3.392920065876976697539654853941863067e+00; diff = 3.081487911019577364889564708135883710e-33; -540/1000
Check failed for (fp128): x = -3.386636880569797111062729567175303781e+00; diff = 3.081487911019577364889564708135883710e-33; -539/1000
Check failed for (fp128): x = -3.374070509955437938108878993642185980e+00; diff = 3.081487911019577364889564708135883710e-33; -537/1000
