Check failed for (fp64): alpha = -3.12274309766825; beta = -0.780685774417064; diff = 7.105427357601e-15; -497/1000
Check failed for (fp64): alpha = -3.1101767270539; beta = -0.777544181763474; diff = 3.5527136788005e-15; -495/1000
Check failed for (fp64): alpha = -3.09132717113236; beta = -0.772831792783089; diff = 3.5527136788005e-15; -492/1000
Check failed for (fp64): alpha = -3.05991124459646; beta = -0.764977811149115; diff = 1.77635683940025e-15; -487/1000
Check failed for (fp64): alpha = -3.05362805928928; beta = -0.76340701482232; diff = 1.77635683940025e-15; -486/1000
Check failed for (fp64): alpha = -3.02849531806056; beta = -0.75712382951514; diff = 1.77635683940025e-15; -482/1000
Check failed for (fp64): alpha = -3.0159289474462; beta = -0.75398223686155; diff = 8.88178419700125e-16; -480/1000
Check failed for (fp64): alpha = -3.00336257683184; beta = -0.75084064420796; diff = 8.88178419700125e-16; -478/1000
Check failed for (fp64): alpha = -2.99707939152466; beta = -0.749269847881166; diff = 8.88178419700125e-16; -477/1000
Check failed for (fp64): alpha = -2.99079620621748; beta = -0.747699051554371; diff = 8.88178419700125e-16; -476/1000
Check failed for (fp64): alpha = -2.9845130209103; beta = -0.746128255227576; diff = 8.88178419700125e-16; -475/1000
Check failed for (fp64): alpha = -2.96566346498876; beta = -0.741415866247191; diff = 8.88178419700125e-16; -472/1000
Check failed for (fp64): alpha = -2.95938027968158; beta = -0.739845069920396; diff = 8.88178419700125e-16; -471/1000
Check failed for (fp64): alpha = -2.93424753845287; beta = -0.733561884613217; diff = 8.88178419700125e-16; -467/1000
Check failed for (fp64): alpha = -2.92796435314569; beta = -0.731991088286422; diff = 8.88178419700125e-16; -466/1000
Check failed for (fp64): alpha = -2.92168116783851; beta = -0.730420291959627; diff = 8.88178419700125e-16; -465/1000
Check failed for (fp64): alpha = -2.90911479722415; beta = -0.727278699306037; diff = 4.44089209850063e-16; -463/1000
Check failed for (fp64): alpha = -2.89654842660979; beta = -0.724137106652447; diff = 4.44089209850063e-16; -461/1000
Check failed for (fp64): alpha = -2.86513250007389; beta = -0.716283125018473; diff = 4.44089209850063e-16; -456/1000
Check failed for (fp64): alpha = -2.85884931476671; beta = -0.714712328691678; diff = 4.44089209850063e-16; -455/1000
Check failed for (fp64): alpha = -2.85256612945953; beta = -0.713141532364883; diff = 4.44089209850063e-16; -454/1000
Check failed for (fp64): alpha = -2.84628294415235; beta = -0.711570736038088; diff = 4.44089209850063e-16; -453/1000
Check failed for (fp64): alpha = -2.80858383230927; beta = -0.702145958077319; diff = 4.44089209850063e-16; -447/1000
Check failed for (fp64): alpha = -2.8023006470021; beta = -0.700575161750524; diff = 4.44089209850063e-16; -446/1000
Check failed for (fp64): alpha = -2.7708847204662; beta = -0.692721180116549; diff = 4.44089209850063e-16; -441/1000
Check failed for (fp64): alpha = -2.75203516454466; beta = -0.688008791136165; diff = 4.44089209850063e-16; -438/1000
Check failed for (fp64): alpha = -2.74575197923748; beta = -0.68643799480937; diff = 2.22044604925031e-16; -437/1000
Check failed for (fp64): alpha = -2.72690242331594; beta = -0.681725605828985; diff = 4.44089209850063e-16; -434/1000
Check failed for (fp64): alpha = -2.72061923800876; beta = -0.68015480950219; diff = 2.22044604925031e-16; -433/1000
Check failed for (fp64): alpha = -2.70176968208722; beta = -0.675442420521805; diff = 2.22044604925031e-16; -430/1000
Check failed for (fp64): alpha = -2.6766369408585; beta = -0.669159235214626; diff = 2.22044604925031e-16; -426/1000
Check failed for (fp64): alpha = -2.66407057024414; beta = -0.666017642561036; diff = 2.22044604925031e-16; -424/1000
Check failed for (fp64): alpha = -2.64522101432261; beta = -0.661305253580651; diff = 2.22044604925031e-16; -421/1000
Check failed for (fp64): alpha = -2.62008827309389; beta = -0.655022068273472; diff = 2.22044604925031e-16; -417/1000
Check failed for (fp64): alpha = -2.56982279063645; beta = -0.642455697659113; diff = 2.22044604925031e-16; -409/1000
Check failed for (fp64): alpha = -2.55097323471491; beta = -0.637743308678728; diff = 2.22044604925031e-16; -406/1000
Check failed for (fp64): alpha = -2.51955730817901; beta = -0.629889327044754; diff = 2.22044604925031e-16; -401/1000
Check failed for (fp64): alpha = -2.51327412287183; beta = -0.628318530717959; diff = 2.22044604925031e-16; -400/1000
Check failed for (fp64): alpha = -2.4944245669503; beta = -0.623606141737574; diff = 1.11022302462516e-16; -397/1000
Check failed for (fp64): alpha = -2.48814138164312; beta = -0.622035345410779; diff = 1.11022302462516e-16; -396/1000
